Header	RF	SVM
>Sequence23701	0.6	0.444
>Sequence23702	0.35	0.617
>Sequence23703	0.4	0.19
>Sequence23704	0.5	0.699
>Sequence23705	0.5	0.435
>Sequence23706	0.45	0.246
>Sequence23707	0.45	0.354
>Sequence23708	0.35	0.694
>Sequence23709	0.4	0.709
>Sequence23710	0.5	0.673
>Sequence23711	0.45	0.77
>Sequence23712	0.5	0.397
>Sequence23713	0.4	0.752
>Sequence23714	0.4	0.819
>Sequence23715	0.4	0.426
>Sequence23716	0.4	0.733
>Sequence23717	0.4	0.666
>Sequence23718	0.4	0.225
>Sequence23719	0.45	0.664
>Sequence23720	0.4	0.231
>Sequence23721	0.45	0.672
>Sequence23722	0.55	0.469
>Sequence23723	0.45	0.359
>Sequence23724	0.45	0.775
>Sequence23725	0.4	0.652
>Sequence23726	0.4	0.649
>Sequence23727	0.4	0.654
>Sequence23728	0.5	0.819
>Sequence23729	0.4	0.249
>Sequence23730	0.3	0.334
>Sequence23731	0.35	0.329
>Sequence23732	0.35	0.602
>Sequence23733	0.4	0.78
>Sequence23734	0.35	0.348
>Sequence23735	0.6	0.8
>Sequence23736	0.5	0.381
>Sequence23737	0.45	0.119
>Sequence23738	0.4	0.746
>Sequence23739	0.35	0.31
>Sequence23740	0.55	0.492
>Sequence23741	0.5	0.36
>Sequence23742	0.4	0.291
>Sequence23743	0.5	0.497
>Sequence23744	0.3	0.412
>Sequence23745	0.4	0.592
>Sequence23746	0.4	0.705
>Sequence23747	0.5	0.473
>Sequence23748	0.45	0.838
>Sequence23749	0.3	0.301
>Sequence23750	0.4	0.3
>Sequence23751	0.25	0.375
>Sequence23752	0.55	0.816
>Sequence23753	0.5	0.706
>Sequence23754	0.35	0.806
>Sequence23755	0.55	0.735
>Sequence23756	0.5	0.384
>Sequence23757	0.55	0.609
>Sequence23758	0.5	0.184
>Sequence23759	0.5	0.703
>Sequence23760	0.45	0.776
>Sequence23761	0.55	0.209
>Sequence23762	0.4	0.596
>Sequence23763	0.35	0.771
>Sequence23764	0.5	0.443
>Sequence23765	0.5	0.302
>Sequence23766	0.45	0.641
>Sequence23767	0.55	0.829
>Sequence23768	0.5	0.715
>Sequence23769	0.5	0.791
>Sequence23770	0.45	0.793
>Sequence23771	0.55	0.395
>Sequence23772	0.5	0.783
>Sequence23773	0.4	0.788
>Sequence23774	0.35	0.62
>Sequence23775	0.45	0.102
>Sequence23776	0.5	0.593
>Sequence23777	0.35	0.296
>Sequence23778	0.35	0.342
>Sequence23779	0.3	0.187
>Sequence23780	0.45	0.742
>Sequence23781	0.45	0.69
>Sequence23782	0.6	0.55
>Sequence23783	0.4	0.664
>Sequence23784	0.4	0.197
>Sequence23785	0.35	0.058
>Sequence23786	0.55	0.294
>Sequence23787	0.5	0.792
>Sequence23788	0.4	0.232
>Sequence23789	0.6	0.626
>Sequence23790	0.45	0.637
>Sequence23791	0.45	0.34
>Sequence23792	0.35	0.755
>Sequence23793	0.25	0.605
>Sequence23794	0.4	0.636
>Sequence23795	0.4	0.703
>Sequence23796	0.35	0.199
>Sequence23797	0.35	0.603
>Sequence23798	0.2	0.594
>Sequence23799	0.35	0.14
>Sequence23800	0.55	0.148
