"Header","RF","SVM"
">Sequence1","0.45","0.264"
">Sequence2","0.55","0.299"
">Sequence3","0.5","0.134"
">Sequence4","0.4","0.232"
">Sequence5","0.5","0.372"
">Sequence6","0.4","0.708"
">Sequence7","0.45","0.525"
">Sequence8","0.5","0.243"
">Sequence9","0.45","0.298"
">Sequence10","0.4","0.502"
">Sequence11","0.4","0.341"
">Sequence12","0.5","0.372"
">Sequence13","0.35","0.261"
">Sequence14","0.4","0.228"
">Sequence15","0.45","0.547"
">Sequence16","0.45","0.565"
">Sequence17","0.45","0.193"
">Sequence18","0.5","0.339"
">Sequence19","0.5","0.134"
">Sequence20","0.4","0.22"
">Sequence21","0.35","0.157"
">Sequence22","0.6","0.319"
">Sequence23","0.45","0.619"
">Sequence24","0.6","0.372"
">Sequence25","0.5","0.19"
">Sequence26","0.4","0.475"
">Sequence27","0.45","0.444"
">Sequence28","0.5","0.345"
">Sequence29","0.3","0.186"
">Sequence30","0.35","0.323"
">Sequence31","0.5","0.161"
">Sequence32","0.4","0.318"
">Sequence33","0.4","0.082"
">Sequence34","0.55","0.387"
">Sequence35","0.5","0.415"
">Sequence36","0.35","0.225"
">Sequence37","0.4","0.13"
">Sequence38","0.3","0.134"
">Sequence39","0.55","0.3"
">Sequence40","0.4","0.549"
">Sequence41","0.55","0.165"
">Sequence42","0.55","0.328"
">Sequence43","0.4","0.426"
">Sequence44","0.55","0.3"
">Sequence45","0.45","0.242"
">Sequence46","0.35","0.367"
">Sequence47","0.3","0.236"
">Sequence48","0.45","0.652"
">Sequence49","0.45","0.302"
">Sequence50","0.35","0.43"
">Sequence51","0.45","0.279"
">Sequence52","0.45","0.713"
">Sequence53","0.35","0.439"
">Sequence54","0.45","0.227"
">Sequence55","0.35","0.328"
">Sequence56","0.4","0.525"
">Sequence57","0.4","0.517"
">Sequence58","0.45","0.201"
">Sequence59","0.45","0.724"
">Sequence60","0.4","0.147"
">Sequence61","0.3","0.197"
">Sequence62","0.45","0.23"
">Sequence63","0.5","0.226"
">Sequence64","0.35","0.263"
">Sequence65","0.4","0.27"
">Sequence66","0.45","0.352"
">Sequence67","0.35","0.215"
">Sequence68","0.4","0.383"
">Sequence69","0.4","0.17"
">Sequence70","0.45","0.452"
">Sequence71","0.35","0.239"
">Sequence72","0.45","0.276"
">Sequence73","0.45","0.407"
">Sequence74","0.5","0.412"
">Sequence75","0.25","0.175"
">Sequence76","0.55","0.349"
">Sequence77","0.35","0.191"
">Sequence78","0.35","0.503"
">Sequence79","0.4","0.149"
">Sequence80","0.45","0.32"
">Sequence81","0.55","0.309"
">Sequence82","0.45","0.621"
">Sequence83","0.4","0.328"
">Sequence84","0.45","0.586"
">Sequence85","0.45","0.688"
">Sequence86","0.25","0.375"
">Sequence87","0.4","0.242"
">Sequence88","0.5","0.213"
">Sequence89","0.35","0.318"
">Sequence90","0.5","0.331"
">Sequence91","0.35","0.611"
">Sequence92","0.55","0.235"
">Sequence93","0.45","0.235"
">Sequence94","0.35","0.335"
">Sequence95","0.3","0.524"
">Sequence96","0.4","0.514"
">Sequence97","0.4","0.288"
">Sequence98","0.4","0.118"
">Sequence99","0.55","0.31"
">Sequence100","0.45","0.246"
">Sequence101","0.5","0.237"
">Sequence102","0.45","0.733"
">Sequence103","0.4","0.517"
">Sequence104","0.55","0.107"
">Sequence105","0.45","0.655"
">Sequence106","0.4","0.249"
">Sequence107","0.45","0.237"
">Sequence108","0.4","0.144"
">Sequence109","0.4","0.722"
">Sequence110","0.5","0.681"
">Sequence111","0.35","0.214"
">Sequence112","0.4","0.192"
">Sequence113","0.3","0.048"
">Sequence114","0.45","0.488"
">Sequence115","0.55","0.378"
">Sequence116","0.5","0.284"
">Sequence117","0.4","0.681"
">Sequence118","0.45","0.356"
">Sequence119","0.45","0.27"
">Sequence120","0.4","0.319"
">Sequence121","0.35","0.075"
">Sequence122","0.35","0.269"
">Sequence123","0.4","0.194"
">Sequence124","0.4","0.121"
">Sequence125","0.4","0.619"
">Sequence126","0.45","0.303"
">Sequence127","0.4","0.734"
">Sequence128","0.45","0.276"
">Sequence129","0.3","0.178"
">Sequence130","0.45","0.601"
">Sequence131","0.35","0.123"
">Sequence132","0.4","0.134"
">Sequence133","0.55","0.409"
">Sequence134","0.45","0.652"
">Sequence135","0.45","0.221"
">Sequence136","0.55","0.321"
">Sequence137","0.4","0.124"
">Sequence138","0.4","0.595"
">Sequence139","0.35","0.283"
">Sequence140","0.45","0.733"
">Sequence141","0.35","0.097"
">Sequence142","0.4","0.372"
">Sequence143","0.55","0.157"
">Sequence144","0.45","0.183"
">Sequence145","0.4","0.698"
">Sequence146","0.45","0.645"
">Sequence147","0.45","0.227"
">Sequence148","0.15","0.345"
">Sequence149","0.55","0.316"
">Sequence150","0.45","0.527"
">Sequence151","0.45","0.254"
">Sequence152","0.55","0.292"
">Sequence153","0.4","0.623"
">Sequence154","0.5","0.31"
